Voltage (V),Current (A),Capacity (mAh),T1(C),
4.0008,-13.9993,3499.8,24.8,
3.9929,-13.999,3616.5,24.8,
3.9843,-13.9997,3733.1,24.8,
3.9751,-13.9996,3849.8,24.8,
3.9653,-13.9986,3966.5,24.9,
3.9552,-13.9991,4083.1,24.9,
3.9452,-13.9997,4199.8,24.9,
3.9358,-14,4316.4,24.8,
3.927,-13.9987,4433.1,24.8,
3.9188,-13.9992,4549.8,24.8,
3.911,-13.9988,4666.4,24.8,
3.9037,-13.9999,4783.1,24.7,
3.8968,-13.9995,4899.7,24.7,
3.8904,-13.9984,5016.4,24.7,
3.8842,-13.9995,5133.1,24.7,
3.878,-13.9987,5249.7,24.7,
3.8719,-13.9991,5366.4,24.7,
3.8658,-13.9991,5483,24.7,
3.8597,-13.9987,5599.7,24.7,
3.8537,-13.9999,5716.4,24.7,
3.8478,-13.9988,5833,24.6,
3.8419,-13.9993,5949.7,24.7,
3.8362,-13.9993,6066.3,24.7,
3.8306,-13.9989,6183,24.7,
3.8251,-13.9998,6299.7,24.7,
3.8197,-13.9991,6416.3,24.7,
3.8145,-13.9996,6533,24.7,
3.8093,-13.9999,6649.7,24.7,
3.8042,-13.9995,6766.3,24.7,
3.7993,-13.9986,6883,24.7,
3.7944,-13.9998,6999.6,24.7,
3.7897,-13.9998,7116.3,24.7,
3.7851,-13.9991,7233,24.7,
3.7805,-13.9999,7349.6,24.7,
3.7761,-13.9994,7466.3,24.7,
3.7718,-13.9998,7582.9,24.7,
3.7675,-14.0004,7699.6,24.8,
3.7634,-13.9991,7816.3,24.8,
3.7594,-13.9986,7932.9,24.8,
3.7555,-13.9996,8049.6,24.8,
3.7516,-14,8166.2,24.8,
3.7479,-13.999,8282.9,24.8,
3.7441,-13.9997,8399.6,24.8,
3.7405,-13.9986,8516.2,24.8,
3.737,-13.999,8632.9,24.8,
3.7335,-14,8749.5,24.8,
3.7301,-13.9996,8866.2,24.9,
3.7268,-13.9987,8982.9,24.9,
3.7236,-13.9995,9099.5,24.9,
3.7205,-13.9992,9216.2,24.9,
3.7174,-13.9996,9332.8,24.9,
3.7144,-13.999,9449.5,24.9,
3.7116,-13.9987,9566.2,24.9,
3.7088,-13.9993,9682.8,24.9,
3.7062,-13.999,9799.5,25,
3.7038,-13.9988,9916.2,25,
3.7013,-14,10032.8,25,
3.699,-13.9992,10149.5,25,
3.6968,-13.9994,10266.1,25,
3.6945,-13.9997,10382.8,25,
3.6923,-13.9992,10499.5,25,
3.6901,-14.0002,10616.1,25,
3.6878,-13.9996,10732.8,25.1,
3.6855,-13.9996,10849.4,25.1,
3.6831,-13.9992,10966.1,25.1,
3.6806,-14.0002,11082.8,25.1,
3.678,-13.9996,11199.4,25.1,
3.6754,-13.9993,11316.1,25.2,
3.6726,-13.9988,11432.7,25.2,
3.6696,-13.9996,11549.4,25.2,
3.6665,-13.9999,11666.1,25.2,
3.6632,-13.9991,11782.7,25.2,
3.6598,-13.9997,11899.4,25.2,
3.6562,-13.9995,12016.1,25.3,
3.6525,-13.9998,12132.7,25.3,
3.6489,-13.9999,12249.4,25.3,
3.6455,-13.9995,12366,25.3,
3.6423,-13.9994,12482.7,25.3,
3.6392,-13.9998,12599.4,25.3,
3.6359,-13.9986,12716,25.3,
3.6323,-13.999,12832.7,25.4,
3.6281,-13.9993,12949.3,25.4,
3.623,-14.0001,13066,25.4,
3.6164,-13.9991,13182.7,25.4,
3.6074,-13.9991,13299.3,25.4,
3.5949,-13.999,13416,25.4,
3.5776,-13.9992,13532.7,25.4,
3.5548,-14,13649.3,25.5,
3.5254,-13.999,13766,25.5,
3.4878,-13.9992,13882.6,25.5,
3.4384,-13.9992,13999.3,25.5,
3.3708,-13.9998,14116,25.6,
3.2694,-13.9992,14232.6,25.6,
3.0645,-13.9989,14349.3,25.7,
2.9999,-13.9997,14366.5,25.7,
