Voltage (V),Current (A),Capacity (mAh),T1(C),
4.1071,-13.9987,2333.2,35.4,
4.104,-14.0003,2372.1,35.4,
4.101,-13.9989,2411,35.4,
4.0979,-13.9985,2449.9,35.4,
4.0949,-13.9997,2488.8,35.4,
4.0918,-14.0003,2527.6,35.4,
4.0888,-13.9998,2566.5,35.4,
4.0858,-13.9999,2605.4,35.4,
4.0827,-13.9985,2644.3,35.4,
4.0797,-13.9992,2683.2,35.4,
4.0766,-13.9998,2722.1,35.4,
4.0736,-14.0001,2761,35.4,
4.0706,-13.999,2799.9,35.4,
4.0676,-13.9984,2838.7,35.4,
4.0646,-13.9997,2877.6,35.4,
4.0615,-13.9993,2916.5,35.4,
4.0585,-13.9995,2955.4,35.4,
4.0555,-13.9995,2994.3,35.4,
4.0526,-13.9994,3033.2,35.5,
4.0496,-13.999,3072.1,35.4,
4.0466,-13.9989,3111,35.5,
4.0436,-13.9996,3149.8,35.5,
4.0407,-13.9989,3188.7,35.5,
4.0378,-13.9987,3227.6,35.5,
4.0349,-14.0001,3266.5,35.5,
4.032,-13.9996,3305.4,35.6,
4.0292,-13.9998,3344.3,35.6,
4.0265,-13.9987,3383.2,35.6,
4.0239,-13.9993,3422,35.6,
4.0213,-13.9995,3460.9,35.6,
4.0187,-13.9989,3499.8,35.6,
4.0161,-13.9998,3538.7,35.6,
4.0135,-13.9993,3577.6,35.6,
4.0108,-13.9988,3616.5,35.6,
4.008,-13.9995,3655.4,35.6,
4.0051,-14,3694.3,35.6,
4.0022,-13.9987,3733.1,35.6,
3.9992,-13.9997,3772,35.6,
3.9961,-13.9988,3810.9,35.6,
3.9929,-13.9999,3849.8,35.6,
3.9898,-13.9993,3888.7,35.6,
3.9866,-13.9995,3927.6,35.5,
3.9834,-13.9997,3966.5,35.5,
3.9802,-13.9993,4005.4,35.5,
3.977,-13.9988,4044.2,35.5,
3.974,-13.9997,4083.1,35.5,
3.9708,-13.9989,4122,35.5,
3.9677,-13.9993,4160.9,35.5,
3.9646,-13.999,4199.8,35.5,
3.9617,-13.9989,4238.7,35.5,
3.9587,-13.9992,4277.6,35.5,
3.9557,-13.9986,4316.4,35.5,
3.9529,-13.999,4355.3,35.5,
3.9501,-13.9994,4394.2,35.5,
3.9472,-13.9986,4433.1,35.5,
3.9445,-14.0004,4472,35.5,
3.9418,-13.9982,4510.9,35.5,
3.9391,-13.9994,4549.8,35.5,
3.9366,-13.9992,4588.7,35.5,
3.9341,-13.9987,4627.5,35.5,
3.9316,-13.9994,4666.4,35.5,
3.9291,-13.9986,4705.3,35.5,
3.9269,-13.9998,4744.2,35.5,
3.9246,-13.9997,4783.1,35.5,
3.9223,-13.9991,4822,35.5,
3.9201,-13.9988,4860.9,35.5,
3.9179,-13.9988,4899.7,35.5,
3.9157,-13.9993,4938.6,35.4,
3.9135,-14,4977.5,35.4,
3.9113,-13.9991,5016.4,35.4,
3.9091,-13.9996,5055.3,35.4,
3.9069,-13.9993,5094.2,35.4,
3.9047,-13.999,5133.1,35.4,
3.9025,-13.9995,5172,35.4,
3.9003,-13.9987,5210.8,35.5,
3.8982,-13.9997,5249.7,35.5,
3.896,-13.9992,5288.6,35.5,
3.8938,-13.9988,5327.5,35.5,
3.8916,-13.9988,5366.4,35.4,
3.8895,-13.9992,5405.3,35.4,
3.8874,-13.9988,5444.2,35.4,
3.8852,-13.999,5483.1,35.4,
3.8831,-13.9992,5521.9,35.4,
3.8811,-13.9989,5560.8,35.4,
3.879,-13.9986,5599.7,35.4,
3.8769,-13.9996,5638.6,35.4,
3.8748,-13.9998,5677.5,35.4,
3.8728,-13.9995,5716.4,35.4,
3.8708,-13.9998,5755.3,35.4,
3.8688,-13.9995,5794.1,35.4,
3.8668,-13.999,5833,35.4,
3.8648,-13.9984,5871.9,35.4,
3.8629,-13.9979,5910.8,35.4,
3.8609,-13.9995,5949.7,35.4,
3.859,-13.9988,5988.6,35.4,
3.8571,-13.9988,6027.5,35.4,
3.8553,-13.9988,6066.4,35.4,
3.8534,-13.9983,6105.2,35.5,
3.8515,-13.9997,6144.1,35.5,
3.8497,-13.9994,6183,35.5,
3.8479,-13.9998,6221.9,35.5,
3.846,-13.9986,6260.8,35.5,
3.8442,-13.9994,6299.7,35.5,
3.8425,-13.9998,6338.6,35.5,
3.8407,-13.9989,6377.4,35.5,
3.839,-13.9993,6416.3,35.5,
3.8372,-13.9986,6455.2,35.5,
3.8355,-13.9993,6494.1,35.5,
3.8338,-13.9998,6533,35.5,
3.8321,-13.9993,6571.9,35.5,
3.8304,-13.9989,6610.8,35.5,
3.8287,-13.9991,6649.7,35.5,
3.8271,-13.9988,6688.5,35.5,
3.8254,-13.999,6727.4,35.5,
3.8238,-14.0008,6766.3,35.5,
3.8222,-14.0003,6805.2,35.5,
3.8206,-13.9988,6844.1,35.5,
3.819,-13.999,6883,35.5,
3.8175,-13.9999,6921.9,35.5,
3.8158,-13.9996,6960.8,35.5,
3.8143,-13.9993,6999.6,35.5,
3.8127,-13.9986,7038.5,35.4,
3.8112,-13.999,7077.4,35.4,
3.8097,-13.9994,7116.3,35.4,
3.8082,-13.9989,7155.2,35.4,
3.8067,-13.9987,7194.1,35.4,
3.8052,-13.999,7233,35.4,
3.8037,-13.9996,7271.8,35.4,
3.8023,-13.9993,7310.7,35.4,
3.8008,-13.9991,7349.6,35.4,
3.7994,-13.9995,7388.5,35.4,
3.798,-13.9997,7427.4,35.4,
3.7965,-14,7466.3,35.4,
3.7951,-13.999,7505.2,35.4,
3.7937,-13.9992,7544.1,35.4,
3.7924,-13.9987,7582.9,35.4,
3.791,-13.9993,7621.8,35.4,
3.7896,-13.9985,7660.7,35.4,
3.7883,-13.9994,7699.6,35.4,
3.7869,-14.0001,7738.5,35.4,
3.7856,-13.9995,7777.4,35.4,
3.7843,-13.9989,7816.3,35.4,
3.783,-13.9987,7855.1,35.4,
3.7817,-13.9985,7894,35.4,
3.7804,-13.998,7932.9,35.4,
3.7791,-13.999,7971.8,35.4,
3.7779,-13.9989,8010.7,35.4,
3.7767,-13.9992,8049.6,35.4,
3.7754,-13.9987,8088.5,35.4,
3.7741,-13.9998,8127.4,35.5,
3.7729,-13.9991,8166.2,35.5,
3.7717,-13.9987,8205.1,35.5,
3.7705,-13.9993,8244,35.5,
3.7693,-13.9997,8282.9,35.5,
3.7681,-13.9987,8321.8,35.5,
3.7668,-13.9988,8360.7,35.5,
3.7657,-13.9994,8399.6,35.5,
3.7646,-13.9991,8438.4,35.5,
3.7634,-13.9992,8477.3,35.5,
3.7622,-13.9999,8516.2,35.4,
3.7611,-13.9988,8555.1,35.4,
3.76,-13.9993,8594,35.4,
3.7588,-13.9988,8632.9,35.5,
3.7577,-13.9998,8671.8,35.5,
3.7566,-13.9995,8710.6,35.5,
3.7555,-13.9993,8749.5,35.5,
3.7544,-13.9993,8788.4,35.5,
3.7533,-13.9986,8827.3,35.5,
3.7522,-13.9998,8866.2,35.5,
3.7512,-13.9988,8905.1,35.6,
3.7501,-14.0002,8944,35.6,
3.749,-13.9993,8982.9,35.5,
3.748,-13.9989,9021.7,35.5,
3.7469,-13.9988,9060.6,35.5,
3.7459,-13.9981,9099.5,35.5,
3.7448,-13.9991,9138.4,35.5,
3.7438,-13.9987,9177.3,35.5,
3.7428,-13.9978,9216.2,35.5,
3.7418,-13.9996,9255.1,35.5,
3.7407,-13.999,9293.9,35.5,
3.7397,-13.9985,9332.8,35.6,
3.7388,-13.9992,9371.7,35.6,
3.7378,-13.9989,9410.6,35.6,
3.7368,-13.9987,9449.5,35.6,
3.7358,-13.9999,9488.4,35.6,
3.7348,-13.9997,9527.3,35.6,
3.7339,-13.9993,9566.2,35.6,
3.7329,-13.9997,9605,35.6,
3.7319,-13.9986,9643.9,35.6,
3.731,-13.9983,9682.8,35.6,
3.73,-13.9994,9721.7,35.6,
3.7291,-14.0001,9760.6,35.6,
3.7282,-13.9987,9799.5,35.6,
3.7272,-14.0001,9838.4,35.6,
3.7263,-13.9998,9877.3,35.6,
3.7254,-13.999,9916.1,35.6,
3.7245,-13.9988,9955,35.6,
3.7236,-13.9988,9993.9,35.6,
3.7227,-13.9998,10032.8,35.7,
3.7219,-13.9994,10071.7,35.6,
3.721,-13.9988,10110.6,35.7,
3.7202,-13.9986,10149.5,35.7,
3.7193,-13.9991,10188.3,35.7,
3.7185,-13.9989,10227.2,35.7,
3.7177,-13.9991,10266.1,35.7,
3.7169,-13.999,10305,35.7,
3.716,-13.9995,10343.9,35.7,
3.7153,-13.9995,10382.8,35.7,
3.7145,-13.9993,10421.7,35.7,
3.7136,-13.9995,10460.6,35.7,
3.7129,-13.9997,10499.4,35.7,
3.7121,-13.9996,10538.3,35.7,
3.7113,-13.9995,10577.2,35.7,
3.7105,-13.9989,10616.1,35.8,
3.7097,-13.999,10655,35.8,
3.709,-13.9984,10693.9,35.8,
3.7082,-13.998,10732.8,35.8,
3.7074,-14.0003,10771.7,35.8,
3.7066,-13.9999,10810.5,35.8,
3.7058,-13.9991,10849.4,35.8,
3.705,-13.9984,10888.3,35.8,
3.7041,-13.9987,10927.2,35.9,
3.7033,-13.9994,10966.1,35.9,
3.7025,-13.9985,11005,35.9,
3.7017,-13.9993,11043.9,35.9,
3.7008,-13.9991,11082.7,35.9,
3.6999,-13.9996,11121.6,35.9,
3.6991,-13.9987,11160.5,35.9,
3.6982,-13.9997,11199.4,35.9,
3.6972,-13.9991,11238.3,35.9,
3.6963,-13.9997,11277.2,36,
3.6953,-13.9995,11316.1,36,
3.6943,-13.9992,11354.9,36,
3.6933,-13.9996,11393.8,36,
3.6923,-13.9991,11432.7,36,
3.6912,-13.9986,11471.6,36,
3.6901,-13.9999,11510.5,36,
3.6891,-13.9988,11549.4,36,
3.6879,-13.9987,11588.3,36,
3.6868,-13.9989,11627.2,36,
3.6856,-13.9989,11666,36.1,
3.6845,-13.9997,11704.9,36.1,
3.6832,-13.9987,11743.8,36.1,
3.682,-13.9989,11782.7,36.1,
3.6808,-13.999,11821.6,36.1,
3.6796,-13.9988,11860.5,36.1,
3.6783,-13.999,11899.4,36.1,
3.6771,-13.9985,11938.2,36.1,
3.6758,-13.9997,11977.1,36.1,
3.6745,-13.9997,12016,36.1,
3.6732,-13.999,12054.9,36.1,
3.6719,-13.9997,12093.8,36.1,
3.6705,-13.9985,12132.7,36.2,
3.669,-13.9994,12171.6,36.2,
3.6675,-13.9994,12210.5,36.2,
3.666,-13.9996,12249.3,36.2,
3.6644,-13.999,12288.2,36.2,
3.6627,-13.9995,12327.1,36.2,
3.6611,-13.9994,12366,36.2,
3.6594,-13.9998,12404.9,36.3,
3.6577,-13.9997,12443.8,36.3,
3.6562,-13.9996,12482.7,36.3,
3.6547,-13.9997,12521.6,36.3,
3.6534,-13.9988,12560.4,36.3,
3.6522,-14,12599.3,36.3,
3.6512,-13.9988,12638.2,36.3,
3.6503,-13.9986,12677.1,36.3,
3.6494,-13.9988,12716,36.2,
3.6486,-13.9987,12754.9,36.2,
3.6478,-13.9993,12793.8,36.2,
3.647,-13.9995,12832.6,36.2,
3.6462,-13.9988,12871.5,36.3,
3.6454,-13.9996,12910.4,36.3,
3.6445,-14,12949.3,36.2,
3.6436,-13.9998,12988.2,36.3,
3.6426,-13.9993,13027.1,36.2,
3.6416,-13.9988,13066,36.2,
3.6404,-13.9995,13104.9,36.3,
3.6393,-13.9989,13143.7,36.3,
3.638,-13.9996,13182.6,36.4,
3.6365,-13.9993,13221.5,36.4,
3.6348,-13.9997,13260.4,36.5,
3.633,-13.9997,13299.3,36.5,
3.6308,-13.9988,13338.2,36.5,
3.6283,-13.9989,13377.1,36.5,
3.6253,-13.9991,13415.9,36.5,
3.6216,-14.0001,13454.8,36.5,
3.6171,-13.9993,13493.7,36.5,
3.6116,-13.9988,13532.6,36.5,
3.605,-13.9988,13571.5,36.5,
3.5972,-13.9993,13610.4,36.5,
3.5884,-13.9981,13649.3,36.6,
3.5786,-13.9998,13688.1,36.5,
3.5678,-13.999,13727,36.5,
3.5561,-13.9988,13765.9,36.5,
3.5434,-13.9997,13804.8,36.6,
3.5297,-13.9987,13843.7,36.6,
3.515,-13.999,13882.6,36.6,
3.499,-13.9989,13921.5,36.6,
3.4817,-13.9992,13960.4,36.6,
3.4629,-13.9987,13999.2,36.6,
3.4424,-13.9988,14038.1,36.5,
3.4198,-14.0005,14077,36.5,
3.3947,-13.9988,14115.9,36.5,
3.3666,-13.9993,14154.8,36.5,
3.3346,-13.9997,14193.7,36.6,
3.2973,-13.9984,14232.6,36.6,
3.2525,-13.9997,14271.5,36.6,
3.1963,-13.9993,14310.3,36.6,
3.1181,-13.999,14349.2,36.6,
2.9998,-13.9994,14380.7,36.6,
4.3188,-13.9992,0,45,
4.3044,-13.9998,38.9,44.9,
4.2984,-14.0002,77.8,45,
4.2941,-13.9997,116.7,44.9,
4.2903,-13.9997,155.6,44.9,
4.2868,-13.9998,194.4,45.1,
4.2834,-13.9996,233.3,45.1,
4.2801,-13.9997,272.2,45.1,
4.2768,-13.9996,311.1,45.1,
4.2736,-13.9997,350,45,
4.2704,-13.9995,388.9,45.1,
4.2672,-13.9998,427.8,45.2,
4.264,-13.9992,466.7,45.2,
4.2609,-13.9996,505.5,45.1,
4.2577,-13.9993,544.4,45.2,
4.2546,-13.9999,583.3,45.3,
4.2514,-14.0004,622.2,45.2,
4.2483,-13.9996,661.1,45.3,
4.2451,-13.9997,700,45.3,
4.242,-13.9996,738.9,45.4,
4.2388,-13.9994,777.8,45.3,
4.2357,-13.9996,816.6,45.3,
4.2326,-13.9995,855.5,45.3,
4.2295,-13.9998,894.4,45.5,
4.2264,-13.9999,933.3,45.3,
4.2232,-13.9994,972.2,45.4,
4.2201,-13.9992,1011.1,45.5,
4.217,-13.9997,1050,45.4,
4.2139,-13.9995,1088.9,45.3,
4.2108,-14.0002,1127.7,45.5,
4.2077,-13.9994,1166.6,45.4,
4.2046,-13.9998,1205.5,45.4,
4.2015,-13.9993,1244.4,45.6,
4.1984,-13.9995,1283.3,45.4,
4.1953,-13.9993,1322.2,45.6,
4.1922,-13.9994,1361.1,45.6,
4.1891,-13.9994,1400,45.5,
4.186,-13.9993,1438.8,45.4,
4.1829,-13.9996,1477.7,45.5,
4.1799,-13.9997,1516.6,45.6,
4.1768,-13.9991,1555.5,45.5,
4.1737,-14.0006,1594.4,45.7,
4.1706,-13.9992,1633.3,45.5,
4.1676,-13.9993,1672.2,45.5,
4.1645,-13.9992,1711.1,45.6,
4.1615,-13.9998,1749.9,45.6,
4.1584,-13.9997,1788.8,45.6,
4.1554,-14,1827.7,45.7,
4.1524,-13.9993,1866.6,45.7,
4.1493,-13.9997,1905.5,45.7,
4.1463,-13.9998,1944.4,45.6,
4.1433,-13.9994,1983.3,45.7,
4.1403,-13.9998,2022.2,45.6,
4.1372,-13.9994,2061,45.7,
4.1342,-13.9991,2099.9,45.6,
4.1312,-13.999,2138.8,45.8,
4.1282,-13.9994,2177.7,45.6,
4.1252,-13.9997,2216.6,45.7,
4.1222,-13.9996,2255.5,45.6,
4.1192,-13.9993,2294.4,45.8,
4.1162,-13.9994,2333.3,45.6,
4.1132,-13.9997,2372.1,45.8,
4.1102,-13.9995,2411,45.8,
4.1072,-13.9993,2449.9,45.7,
4.1043,-13.9996,2488.8,45.7,
4.1013,-13.9996,2527.7,45.8,
4.0983,-13.9998,2566.6,45.8,
4.0954,-13.9989,2605.5,45.7,
4.0924,-13.9995,2644.4,45.7,
4.0895,-13.9997,2683.3,45.8,
4.0865,-13.9995,2722.1,45.7,
4.0836,-13.9998,2761,45.8,
4.0807,-13.9998,2799.9,45.8,
4.0777,-13.9995,2838.8,45.8,
4.0748,-13.9996,2877.7,45.7,
4.0719,-13.9992,2916.6,45.7,
4.069,-13.9993,2955.5,45.8,
4.066,-13.9998,2994.4,45.9,
4.0632,-13.9996,3033.2,45.8,
4.0602,-13.9993,3072.1,45.7,
4.0574,-13.9997,3111,45.9,
4.0545,-13.9993,3149.9,45.9,
4.0516,-13.9998,3188.8,45.8,
4.0488,-13.9996,3227.7,45.7,
4.0459,-14,3266.6,45.8,
4.0431,-13.9998,3305.5,45.8,
4.0402,-13.9993,3344.3,45.8,
4.0374,-13.9998,3383.2,45.8,
4.0347,-13.9993,3422.1,45.9,
4.0319,-13.9996,3461,45.9,
4.0293,-13.9994,3499.9,45.8,
4.0267,-13.9996,3538.8,45.8,
4.0242,-13.9994,3577.7,45.9,
4.0216,-13.9995,3616.6,45.8,
4.0191,-13.999,3655.4,45.9,
4.0165,-13.999,3694.3,45.9,
4.0138,-13.9996,3733.2,45.9,
4.0109,-13.9995,3772.1,45.8,
4.0081,-13.9994,3811,45.9,
4.0052,-13.9993,3849.9,46,
4.0022,-13.9994,3888.8,46,
3.9992,-13.9995,3927.7,45.9,
3.9962,-13.9996,3966.5,46,
3.9933,-13.9994,4005.4,46,
3.9903,-13.9994,4044.3,45.9,
3.9873,-13.9994,4083.2,45.9,
3.9844,-13.9996,4122.1,46,
3.9814,-13.9994,4161,45.9,
3.9785,-13.9995,4199.9,45.9,
3.9756,-13.9996,4238.8,46,
3.9728,-13.9995,4277.6,46,
3.9699,-13.9998,4316.5,46,
3.9671,-13.9998,4355.4,45.9,
3.9644,-13.9995,4394.3,45.9,
3.9617,-13.9995,4433.2,46,
3.9591,-13.9994,4472.1,46,
3.9565,-13.9998,4511,46,
3.954,-13.9996,4549.9,46,
3.9515,-13.9994,4588.7,46,
3.949,-14,4627.6,45.9,
3.9465,-13.9997,4666.5,45.8,
3.9441,-13.9995,4705.4,45.8,
3.9417,-13.9995,4744.3,45.9,
3.9393,-13.9999,4783.2,45.9,
3.9369,-13.9998,4822.1,45.9,
3.9345,-13.9998,4861,45.8,
3.9321,-13.9995,4899.8,45.8,
3.9297,-13.9992,4938.7,45.9,
3.9272,-13.9995,4977.6,45.8,
3.9248,-13.9993,5016.5,45.9,
3.9225,-13.9995,5055.4,45.8,
3.9201,-13.9995,5094.3,45.7,
3.9177,-13.9994,5133.2,45.9,
3.9153,-13.9993,5172.1,45.9,
3.913,-13.9995,5210.9,45.8,
3.9106,-13.9995,5249.8,45.8,
3.9084,-13.9992,5288.7,45.8,
3.9061,-13.9994,5327.6,45.9,
3.9038,-13.9997,5366.5,45.9,
3.9015,-13.9995,5405.4,45.9,
3.8993,-13.9996,5444.3,45.9,
3.8971,-13.9999,5483.2,45.7,
3.8948,-13.9998,5522.1,45.9,
3.8927,-13.9993,5560.9,45.9,
3.8905,-13.9999,5599.8,45.8,
3.8884,-13.9996,5638.7,45.8,
3.8863,-13.9995,5677.6,45.9,
3.8842,-13.9997,5716.5,45.9,
3.8821,-13.9997,5755.4,45.8,
3.8801,-13.9997,5794.3,45.8,
3.8781,-13.9999,5833.2,45.8,
3.876,-13.9995,5872,45.9,
3.874,-13.9992,5910.9,45.9,
3.8721,-13.9996,5949.8,45.9,
3.8702,-13.9996,5988.7,45.8,
3.8682,-13.9996,6027.6,45.9,
3.8663,-13.9997,6066.5,45.9,
3.8644,-13.9995,6105.4,45.8,
3.8625,-13.9996,6144.3,45.9,
3.8607,-13.9996,6183.1,45.9,
3.8588,-13.9998,6222,45.9,
3.857,-13.9995,6260.9,45.9,
3.8552,-13.9998,6299.8,45.8,
3.8534,-13.9997,6338.7,45.9,
3.8516,-13.9997,6377.6,45.9,
3.8499,-13.9998,6416.5,45.8,
3.8481,-13.9995,6455.4,45.8,
3.8464,-13.9996,6494.2,45.8,
3.8447,-13.9994,6533.1,45.9,
3.843,-13.9996,6572,45.9,
3.8413,-13.9997,6610.9,45.8,
3.8397,-13.9992,6649.8,45.9,
3.838,-13.9994,6688.7,45.8,
3.8364,-13.9994,6727.6,45.9,
3.8348,-13.9994,6766.5,45.9,
3.8332,-13.9994,6805.3,45.9,
3.8316,-13.9996,6844.2,45.8,
3.83,-13.9998,6883.1,45.8,
3.8284,-13.9996,6922,45.9,
3.8269,-13.9994,6960.9,45.8,
3.8253,-13.9995,6999.8,45.8,
3.8238,-13.9997,7038.7,45.8,
3.8223,-14.0001,7077.6,45.8,
3.8208,-13.9997,7116.4,45.8,
3.8193,-13.9999,7155.3,45.8,
3.8178,-13.999,7194.2,45.9,
3.8164,-13.9998,7233.1,45.9,
3.8149,-13.9996,7272,45.8,
3.8134,-13.9997,7310.9,45.8,
3.812,-13.9994,7349.8,45.9,
3.8106,-13.9997,7388.7,45.8,
3.8092,-13.9998,7427.5,45.9,
3.8078,-13.9995,7466.4,45.9,
3.8064,-13.9997,7505.3,45.8,
3.8051,-13.9994,7544.2,45.9,
3.8037,-13.9998,7583.1,45.9,
3.8024,-13.9994,7622,45.8,
3.801,-13.9997,7660.9,45.8,
3.7997,-13.9994,7699.8,45.7,
3.7984,-13.9992,7738.6,45.8,
3.7971,-13.999,7777.5,45.9,
3.7958,-13.9998,7816.4,45.9,
3.7945,-13.9998,7855.3,45.8,
3.7933,-13.9993,7894.2,45.8,
3.792,-13.9991,7933.1,45.8,
3.7908,-13.9995,7972,45.8,
3.7896,-14.0001,8010.9,45.8,
3.7883,-13.9996,8049.7,45.8,
3.7871,-13.9994,8088.6,45.9,
3.7858,-13.9998,8127.5,45.8,
3.7846,-13.9993,8166.4,45.9,
3.7834,-13.9995,8205.3,45.8,
3.7823,-13.9998,8244.2,45.9,
3.7811,-13.9992,8283.1,45.9,
3.7799,-13.9999,8322,45.9,
3.7787,-14.0001,8360.8,45.9,
3.7776,-13.999,8399.7,45.8,
3.7765,-14.0003,8438.6,45.9,
3.7754,-13.9998,8477.5,45.9,
3.7742,-13.9997,8516.4,45.9,
3.7731,-13.9992,8555.3,45.8,
3.772,-13.9995,8594.2,45.9,
3.7709,-13.9999,8633.1,45.8,
3.7698,-13.9995,8671.9,45.8,
3.7687,-13.9997,8710.8,45.8,
3.7676,-13.9992,8749.7,45.8,
3.7665,-13.9992,8788.6,45.9,
3.7654,-13.9997,8827.5,45.8,
3.7644,-13.9997,8866.4,45.9,
3.7633,-13.9997,8905.3,45.8,
3.7622,-13.9995,8944.2,46,
3.7612,-13.9998,8983,45.8,
3.7601,-13.9997,9021.9,46,
3.7591,-13.9995,9060.8,45.9,
3.7581,-13.9997,9099.7,45.8,
3.757,-13.9996,9138.6,45.9,
3.756,-13.9996,9177.5,45.8,
3.755,-13.9994,9216.4,45.9,
3.754,-13.9999,9255.3,45.8,
3.753,-13.9997,9294.2,45.9,
3.752,-13.9992,9333,46,
3.7509,-13.9996,9371.9,45.9,
3.75,-13.9993,9410.8,46,
3.7489,-13.9995,9449.7,45.9,
3.7479,-13.9997,9488.6,46,
3.7469,-13.9993,9527.5,45.9,
3.746,-13.9996,9566.4,45.9,
3.745,-13.9993,9605.3,46,
3.744,-13.9995,9644.1,46.1,
3.743,-13.9995,9683,46,
3.742,-13.9993,9721.9,46.1,
3.741,-13.9998,9760.8,45.9,
3.74,-13.9999,9799.7,46,
3.739,-13.9992,9838.6,45.9,
3.738,-13.9995,9877.5,46,
3.737,-13.9996,9916.4,46.1,
3.736,-13.9995,9955.2,46,
3.7351,-13.9998,9994.1,46,
3.7341,-13.9997,10033,46.1,
3.7331,-14.0003,10071.9,46,
3.7321,-14,10110.8,46,
3.7311,-13.9993,10149.7,46.1,
3.7301,-13.9995,10188.6,46,
3.7291,-13.9995,10227.5,46,
3.7281,-13.9999,10266.3,46.1,
3.7271,-13.9993,10305.2,46.1,
3.7261,-13.9993,10344.1,46.2,
3.7251,-13.9995,10383,46.1,
3.7241,-13.9996,10421.9,46.1,
3.7231,-13.9996,10460.8,46.2,
3.7222,-13.9993,10499.7,46.1,
3.7212,-13.9993,10538.6,46.2,
3.7202,-13.9994,10577.4,46.1,
3.7192,-13.9996,10616.3,46.2,
3.7182,-13.9995,10655.2,46.3,
3.7173,-13.9995,10694.1,46.3,
3.7163,-13.9993,10733,46.2,
3.7153,-13.9996,10771.9,46.3,
3.7144,-13.9998,10810.8,46.3,
3.7134,-13.9994,10849.7,46.4,
3.7124,-13.9998,10888.5,46.3,
3.7115,-13.9997,10927.4,46.4,
3.7105,-13.9996,10966.3,46.5,
3.7096,-13.9992,11005.2,46.4,
3.7087,-13.9998,11044.1,46.3,
3.7078,-13.9995,11083,46.5,
3.7068,-13.9991,11121.9,46.4,
3.7059,-13.9996,11160.8,46.5,
3.705,-13.9996,11199.6,46.6,
3.7041,-13.9994,11238.5,46.6,
3.7032,-13.9995,11277.4,46.5,
3.7022,-13.9997,11316.3,46.5,
3.7013,-13.9994,11355.2,46.5,
3.7003,-13.999,11394.1,46.5,
3.6993,-13.9997,11433,46.7,
3.6984,-13.9988,11471.9,46.7,
3.6973,-13.9993,11510.7,46.6,
3.6963,-13.9997,11549.6,46.6,
3.6952,-13.9987,11588.5,46.6,
3.694,-13.9997,11627.4,46.7,
3.6929,-13.9994,11666.3,46.8,
3.6917,-13.9994,11705.2,46.8,
3.6905,-13.9997,11744.1,46.7,
3.6893,-13.9992,11783,46.7,
3.688,-13.9994,11821.8,46.8,
3.6867,-13.9994,11860.7,46.8,
3.6853,-13.9996,11899.6,46.8,
3.684,-13.9993,11938.5,46.7,
3.6827,-13.9994,11977.4,46.8,
3.6814,-13.9996,12016.3,46.9,
3.6801,-13.9998,12055.2,46.9,
3.6787,-13.9999,12094.1,46.9,
3.6774,-13.9994,12132.9,46.9,
3.6761,-13.9996,12171.8,46.8,
3.6747,-13.9996,12210.7,46.8,
3.6733,-13.9994,12249.6,46.9,
3.6719,-13.9995,12288.5,46.9,
3.6705,-13.9995,12327.4,46.8,
3.6689,-13.9995,12366.3,46.9,
3.6673,-13.9997,12405.2,47,
3.6656,-13.9995,12444,46.9,
3.6638,-13.9997,12482.9,46.9,
3.662,-13.9995,12521.8,47,
3.6601,-13.9995,12560.7,47.1,
3.6583,-13.9995,12599.6,47,
3.6568,-13.9989,12638.5,47,
3.6554,-13.9998,12677.4,47.1,
3.6544,-13.9998,12716.3,47.1,
3.6535,-13.9998,12755.1,47.1,
3.6528,-13.9995,12794,47.1,
3.6521,-13.9992,12832.9,47,
3.6515,-13.9989,12871.8,47,
3.6508,-13.9992,12910.7,47,
3.6501,-13.9994,12949.6,47.1,
3.6495,-13.9991,12988.5,47.1,
3.6488,-13.9993,13027.4,47.2,
3.648,-13.9993,13066.2,47.2,
3.6473,-13.9991,13105.1,47.2,
3.6464,-13.9993,13144,47.1,
3.6455,-13.9995,13182.9,47,
3.6446,-13.9996,13221.8,47.1,
3.6436,-13.9994,13260.7,47.2,
3.6424,-14,13299.6,47.1,
3.6412,-13.9993,13338.5,47.1,
3.6398,-13.9994,13377.3,47.1,
3.6382,-13.9993,13416.2,47.1,
3.6363,-13.9995,13455.1,47,
3.6339,-13.9998,13494,47.1,
3.6309,-13.9996,13532.9,47.1,
3.6269,-13.9996,13571.8,47.1,
3.6216,-13.9998,13610.7,47.2,
3.6149,-13.999,13649.6,47.1,
3.6066,-13.9997,13688.4,47.2,
3.5973,-13.9996,13727.3,47.2,
3.5871,-13.9999,13766.2,47.2,
3.576,-13.9996,13805.1,47.1,
3.564,-13.9994,13844,47.2,
3.5513,-13.999,13882.9,47.2,
3.5377,-13.9997,13921.8,47.3,
3.5232,-13.9997,13960.7,47.3,
3.5076,-13.9995,13999.5,47.2,
3.4908,-13.9995,14038.4,47.3,
3.4727,-13.9993,14077.3,47.4,
3.453,-13.9999,14116.2,47.3,
3.4315,-13.9996,14155.1,47.3,
3.4078,-13.9997,14194,47.3,
3.3815,-14,14232.9,47.4,
3.3517,-13.9996,14271.7,47.5,
3.3175,-13.9996,14310.6,47.5,
3.277,-13.9994,14349.5,47.4,
3.2274,-13.9992,14388.4,47.5,
3.1626,-13.9991,14427.3,47.4,
3.0533,-13.9993,14466.2,47.4,
