Temp,C_rates,SOC,OCV,R0,R1,C1,R2,C2
20,1,1,4.3389,0.00353904394002842,0.00761682941337332,6761.29406823921,1.00035656054417e-06,1260.23748339244
20,1,0.9,4.22298628902571,0.00353906664092628,0.0076874705749453,6445.91113315925,1.00089982629695e-06,1166.62591887473
20,1,0.8,4.11698854025598,0.00353921654971933,0.00778863480469237,6054.43107381639,1.17049268858041e-06,4133.26731990379
20,1,0.7,4.0139577220998,0.00356814644910646,0.00767226002819799,5749.40120370041,1.007002745709e-06,1085.36639261862
20,1,0.6,3.93049704977634,0.00361191587080411,0.00602178894241423,5996.42987515685,1.00000770442892e-06,217.202163134929
20,1,0.5,3.85484847186051,0.00371226365300942,0.00443736027815486,7637.84762158166,1.0000105694994e-06,4232.0216860034
20,1,0.4,3.81121999833526,0.0037987084918196,0.00414170797266283,8078.65567073816,1.00003729063257e-06,242.030160370099
20,1,0.3,3.78421125615397,0.00389953368892502,0.00412644966452729,9689.05990749706,1.00038162416435e-06,2671.64922851883
20,1,0.2,3.75528459828018,0.00400830011810984,0.00457158787828351,8411.91975977964,1.00002629230485e-06,427.164173097317
20,1,0.1,3.70403276117326,NaN,NaN,NaN,NaN,NaN
20,1,0,3.65278092406634,NaN,NaN,NaN,NaN,NaN
20,6,1,4.3435,0.00310901138693888,0.00187724681601751,9619.84151245322,0.000203264485281895,1314.06148631239
20,6,0.9,4.22761244762556,0.00308513470971016,0.00185381222306728,9148.50127583588,0.000287423662091914,416.989600781765
20,6,0.8,4.12043211608807,0.00305060280767401,0.00173014851699494,9995.17200898547,0.000383331716172055,5772.17990085572
20,6,0.7,4.01573559278647,0.00305191292518514,0.00173189381547627,8628.133824835,0.000393423175452721,8256.30166764826
20,6,0.6,3.92768886497731,0.00307382391127085,0.00138140244152875,8564.88627034049,0.000205838599939167,9401.23040351319
20,6,0.5,3.85521435322839,0.00315267309313341,0.00133323571354088,6335.20623735494,1.24769927835101e-05,9952.86592233556
20,6,0.4,3.81150944161275,0.00323285325471345,0.00123828722031714,6012.24371636086,1.05329940608104e-05,9959.68482142712
20,6,0.3,3.78392416596836,0.00332734673716268,0.00114696040288851,6016.61603211779,9.72134128455942e-06,9992.90270137762
20,6,0.2,3.75311156731337,0.00343183964860109,0.00145621765623343,9999.91815026853,0.000209963930531908,9633.73853151908
20,6,0.1,3.70412543083806,NaN,NaN,NaN,NaN,NaN
20,6,0,3.65513929436276,NaN,NaN,NaN,NaN,NaN
30,1,1,4.3391,0.00196996276760474,0.00696105298722985,6844.83860977666,1.00031031132696e-06,1372.76239907864
30,1,0.9,4.22409337171487,0.00198421241342562,0.00697127574331175,6611.22534529897,1.0003286783916e-06,1282.38152913494
30,1,0.8,4.11773667999663,0.00199147302215422,0.0071734250786892,6453.2408664464,1.00093147779559e-06,1260.88176299662
30,1,0.7,4.01927848838676,0.00200601113573938,0.00710563588229692,6345.95223770545,1.10329138309494e-06,1266.96638662643
30,1,0.6,3.9350833823851,0.00203475870911646,0.00580404342752648,6407.03744172976,1.00000474869936e-06,1822.08515837669
30,1,0.5,3.85547070014242,0.00205662441471949,0.00392324628314253,8329.63203682352,1.00004424034363e-06,1097.93147414437
30,1,0.4,3.81191271950384,0.00210675829897743,0.0037833594619955,9779.07057372935,1.00034077320554e-06,946.83765412056
30,1,0.3,3.783474929574,0.00215755725349762,0.00381594844464107,9691.85571746993,1.00020277593736e-06,327.461307946387
30,1,0.2,3.74695222486363,0.00223595874253122,0.00396737862244617,9752.35226125392,1.00052834322597e-06,1803.98785658701
30,1,0.1,3.69661182003128,NaN,NaN,NaN,NaN,NaN
30,1,0,3.64627141519892,NaN,NaN,NaN,NaN,NaN
30,6,1,4.3401,0.00185681453463943,0.00213415760389403,9999.9994869322,0.000108765595668676,27.171760197552
30,6,0.9,4.22551261033345,0.00187352490643887,0.00208535083020949,9938.20910961659,0.00020333391836537,95.8643653309894
30,6,0.8,4.11825047121965,0.00187115039476072,0.00198968624371923,9946.00817189137,0.000254910256959021,212.874195180374
30,6,0.7,4.01853503909118,0.00187477614902394,0.00184221079788451,9961.09816991059,0.000306383774976886,50.3725454865758
30,6,0.6,3.93016602794384,0.00189167576814576,0.00156461416153149,8964.10364053086,0.000130836963167954,408.074652526056
30,6,0.5,3.85412185460504,0.00193222997998586,0.00131949946172989,9645.67831480311,0.000128204785007586,338.32625744018
30,6,0.4,3.81100858247221,0.00196943166571666,0.00127817570343735,8623.28489961403,8.71941171719083e-05,9263.64273792958
30,6,0.3,3.78304709392408,0.00201735062298297,0.00122452299648706,8671.93774595525,8.21392530312603e-05,9820.94061419703
30,6,0.2,3.74583083539286,0.00207615892872409,0.00140770524460218,9712.19463241433,8.00671979569951e-05,297.156741371991
30,6,0.1,3.6979459269884,NaN,NaN,NaN,NaN,NaN
30,6,0,3.65006101858393,NaN,NaN,NaN,NaN,NaN
40,1,1,4.3339,0.00128941353886589,0.00683564773494558,9275.69139702376,1.00003710232672e-06,5353.96680952507
40,1,0.9,4.22039444819559,0.00128938613583661,0.00676020155188229,8959.35149242289,1.00004605788038e-06,256.88432958451
40,1,0.8,4.11394618657535,0.00128948568023682,0.00670487916592285,8256.429144272,1.00210915416429e-06,418.853498257487
40,1,0.7,4.01719288438946,0.00130380686057123,0.00653189056898696,7349.4270827386,1.05221496190376e-06,1274.35311830475
40,1,0.6,3.93476681323341,0.0013182603848601,0.00560379072112036,7672.42558039646,1.00001959941027e-06,330.342923272496
