Voltage (V),Current (A),Capacity (mAh),T1(C),
3.6508,-139.9881,5482.8,39.7
3.6492,-139.9853,5521.7,39.7
3.6476,-139.9889,5560.6,39.8
3.646,-139.983,5599.5,39.9
3.6444,-139.9853,5638.4,40.0
3.6428,-139.9879,5677.2,40.0
3.6412,-139.9833,5716.1,40.1
3.6396,-139.9828,5755.0,40.1
3.638,-139.9838,5793.9,40.2
3.6365,-139.9842,5832.8,40.2
3.6349,-139.9908,5871.7,40.3
3.6334,-139.9883,5910.6,40.3
3.6319,-139.9918,5949.4,40.4
3.6303,-139.9825,5988.3,40.5
3.6288,-139.9875,6027.2,40.6
3.6273,-139.9895,6066.1,40.6
3.6258,-139.9824,6105.0,40.7
3.6243,-139.9807,6143.9,40.8
3.6228,-139.9869,6182.8,40.9
3.6213,-139.982,6221.6,40.9
3.6198,-139.9903,6260.5,41.0
3.6183,-139.9886,6299.4,41.1
3.6169,-139.9885,6338.3,41.1
3.6154,-139.9902,6377.2,41.2
3.614,-139.9879,6416.1,41.3
3.6125,-139.9887,6454.9,41.3
3.6111,-139.9865,6493.8,41.4
3.6097,-139.9887,6532.7,41.5
3.6083,-139.9888,6571.6,41.5
3.6069,-139.9907,6610.5,41.6
3.6055,-139.9819,6649.4,41.7
3.6041,-139.9902,6688.3,41.8
3.6028,-139.9884,6727.1,41.8
3.6014,-139.9885,6766.0,41.9
3.6001,-139.9917,6804.9,42.0
3.5987,-139.9906,6843.8,42.1
3.5974,-139.9855,6882.7,42.1
3.596,-139.9872,6921.6,42.2
3.5947,-139.9812,6960.5,42.2
3.5934,-139.986,6999.3,42.3
3.5922,-139.9911,7038.2,42.3
3.5909,-139.9902,7077.1,42.4
3.5896,-139.99,7116.0,42.5
3.5883,-139.9824,7154.9,42.6
3.5871,-139.9852,7193.8,42.7
3.5858,-139.9929,7232.7,42.8
3.5846,-139.9824,7271.5,42.8
3.5834,-139.9922,7310.4,42.9
3.5822,-139.9915,7349.3,43.0
3.581,-139.9872,7388.2,43.1
3.5798,-139.9891,7427.1,43.2
3.5787,-139.9832,7466.0,43.3
3.5775,-139.992,7504.9,43.4
3.5763,-139.9907,7543.7,43.5
3.5751,-139.983,7582.6,43.6
3.574,-139.9829,7621.5,43.7
3.5729,-139.9865,7660.4,43.8
3.5718,-139.9868,7699.3,43.8
3.5707,-139.9859,7738.2,43.9
3.5696,-139.9903,7777.1,43.9
3.5685,-139.9899,7815.9,44.0
3.5674,-139.9896,7854.8,44.0
3.5664,-139.9841,7893.7,44.0
3.5653,-139.985,7932.6,44.0
3.5643,-139.9851,7971.5,44.0
