Time_s,Voltage_V,Current_A,SOC,Temperature_C
0,4.010322023466236,40.0,0.9,25.055691222885763
1,3.998298164264977,40.0,0.8992063492063492,25.113359370322623
2,3.9867321336258597,40.0,0.8984126984126984,25.172912927602695
3,3.975605000053853,40.0,0.8976190476190476,25.234264298241015
4,3.9648986172345486,40.0,0.8968253968253969,25.297329549743345
5,3.954595591262431,40.0,0.8960317460317461,25.362028261513593
6,3.9446792494667626,40.0,0.8952380952380953,25.428283379063586
7,3.9351336105282355,40.0,0.8944444444444445,25.49602107426426
8,3.925943355832972,40.0,0.8936507936507937,25.565170611388066
9,3.917093802012666,40.0,0.8928571428571429,25.635664218702832
10,3.908570874621748,40.0,0.8920634920634921,25.707436965387167
11,3.900361082904531,40.0,0.8912698412698413,25.780426643547077
12,3.8924514956072045,40.0,0.8904761904761905,25.85457365512251
13,3.884829717791436,40.0,0.8896825396825397,25.9298209034814
14,3.877483868608118,40.0,0.888888888888889,26.006113689506993
15,3.870402559991515,40.0,0.8880952380952382,26.08339961199249
16,3.863574876235704,40.0,0.8873015873015874,26.161628472164555
17,3.856990354416806,40.0,0.8865079365079366,26.24075218216469
18,3.8506389656259814,40.0,0.8857142857142858,26.320724677324634
19,3.8445110969796286,40.0,0.884920634920635,26.401501832078573
20,3.8385975343746175,40.0,0.8841269841269842,26.483041379361598
21,3.832889445957722,40.0,0.8833333333333334,26.56530283334998
22,3.8273783662796657,40.0,0.8825396825396826,26.648247415404875
23,3.8220561811054665,40.0,0.8817460317460318,26.731837983086777
24,3.8169151128538945,40.0,0.880952380952381,26.816038962113502
25,3.811947706640003,40.0,0.8801587301587303,26.90081628113983
26,3.8071468168957687,40.0,0.8793650793650795,26.98613730924187
27,3.8025055945449,40.0,0.8785714285714287,27.071970795994147
28,3.798017474708897,40.0,0.8777777777777779,27.158286814032028
29,3.7936761649223265,40.0,0.8769841269841271,27.245056703996454
30,3.789475633836278,40.0,0.8761904761904763,27.33225302176241
31,3.78541010038975,40.0,0.8753968253968255,27.419849487856403
32,3.781474023429624,40.0,0.8746031746031747,27.507820938972362
33,3.7776620917606367,40.0,0.8738095238095239,27.596143281498954
34,3.7739692146075505,40.0,0.8730158730158731,27.684793446975014
35,3.770390512472464,40.0,0.8722222222222223,27.773749349393228
36,3.766921308370892,40.0,0.8714285714285716,27.862989844275422
37,3.7635571194309425,40.0,0.8706349206349208,27.95249468944615
38,3.760293648840552,40.0,0.86984126984127,28.042244507434116
39,3.757126778128361,40.0,0.8690476190476192,28.132220749434044
40,3.75405255976444,40.0,0.8682539682539684,28.222405660764302
41,3.751067210067587,40.0,0.8674603174603176,28.312782247758342
42,3.748167102406535,40.0,0.8666666666666668,28.40333424603047
43,3.7453487606828753,40.0,0.865873015873016,28.494046090059044
44,3.7426088530840538,40.0,0.8650793650793652,28.584902884032484
45,3.739944186095232,40.0,0.8642857142857144,28.67589037390579
46,3.737351698759319,40.0,0.8634920634920636,28.76699492061733
47,3.7348284571748795,40.0,0.8626984126984129,28.858203474417856
48,3.732371649222073,40.0,0.8619047619047621,28.949503550265675
49,3.729978579507183,40.0,0.8611111111111113,29.040883204243706
50,3.7276466645166924,40.0,0.8603174603174605,29.132331010956108
51,3.7253734279721966,40.0,0.8595238095238097,29.223836041863915
52,3.723156496377886,40.0,0.8587301587301589,29.315387844520643
53,3.72099359475257,40.0,0.8579365079365081,29.406976422670677
54,3.718882542538642,40.0,0.8571428571428573,29.49859221717457
55,3.716821249680634,40.0,0.8563492063492065,29.590226087727046
56,3.7148077128663455,40.0,0.8555555555555557,29.681869295334803
57,3.7128400119238147,40.0,0.854761904761905,29.773513485522592
58,3.7109163063676625,40.0,0.8539682539682542,29.86515067223742
59,3.709034832088651,40.0,0.8531746031746034,29.956773222421905
60,3.707193898180498,40.0,0.8523809523809526,30.04837384122902
61,3.705391883898269,40.0,0.8515873015873018,30.139945557851643
62,3.703627235742912,40.0,0.850793650793651,30.231481711941424
63,3.701898464666689,40.0,0.8500000000000002,30.322975940592485
64,3.700204143394508,40.0,0.8492063492063494,30.41442216586659
65,3.6985429038563447,40.0,0.8484126984126986,30.50581458283725
66,3.6969134347261745,40.0,0.8476190476190478,30.597147648131294
67,3.6953144790629726,40.0,0.846825396825397,30.68841606894725
68,3.6937448320495747,40.0,0.8460317460317462,30.77961479253074
69,3.6922033388253337,40.0,0.8452380952380955,30.870738996087933
70,3.690688892408695,40.0,0.8444444444444447,30.961784077118914
71,3.6892004317059572,40.0,0.8436507936507939,31.052745644153486
72,3.68773693960265,40.0,0.8428571428571431,31.143619507872753
73,3.6862974411341103,40.0,0.8420634920634923,31.23440167260045
74,3.684881001731966,40.0,0.8412698412698415,31.325088328148667
75,3.6834867255433936,40.0,0.8404761904761907,31.41567584200331
76,3.6821137538201243,40.0,0.8396825396825399,31.50616075183511
77,3.680761263374312,40.0,0.8388888888888891,31.59653975832274
78,3.679428465098496,40.0,0.8380952380952383,31.68680971827505
79,3.6781146025469926,40.0,0.8373015873015875,31.776967638040006
80,3.6768189505761883,40.0,0.8365079365079368,31.867010667188435
81,3.675540814041266,40.0,0.835714285714286,31.956936092461152
82,3.6742795265470507,40.0,0.8349206349206352,32.04674133196855
83,3.6730344492507228,40.0,0.8341269841269844,32.13642392963214
84,3.6718049697142385,40.0,0.8333333333333336,32.22598154985801
85,3.670590500804423,40.0,0.8325396825396828,32.315411972432614
86,3.6693904796387216,40.0,0.831746031746032,32.40471308763153
87,3.6682043665747583,40.0,0.8309523809523812,32.493882891532465
88,3.6670316442418613,40.0,0.8301587301587304,32.58291948152399
89,3.6658718166128086,40.0,0.8293650793650796,32.67182105200181
90,3.664724408114154,40.0,0.8285714285714288,32.760585890244876
91,3.663588962773509,40.0,0.8277777777777781,32.84921237246374
92,3.6624650434022636,40.0,0.8269841269841273,32.93769896001412
93,3.661352230812256,40.0,0.8261904761904765,33.02604419576874
94,3.6602501230650204,40.0,0.8253968253968257,33.114246700640855
95,3.6591583347522185,40.0,0.8246031746031749,33.20230517025321
96,3.658076496305994,40.0,0.8238095238095241,33.2902183717463
97,3.6570042533379974,40.0,0.8230158730158733,33.37798514072022
