Time_s,Voltage_V,Current_A,Temperature_C
36081,3.979096650370784,-18.0,59.24914241499119
36082,3.9798245035133344,-18.0,59.25284112400301
36083,3.9805342440657876,-18.0,59.25656571403218
36084,3.981226648345156,-18.0,59.260314639943886
36085,3.9819024599441986,-18.0,59.264086424057
36086,3.9825623910980106,-18.0,59.267879653293754
36087,3.983207123993816,-18.0,59.2716929764486
36088,3.9838373120263104,-18.0,59.27552510157116
36089,3.9844535810008295,-18.0,59.27937479345867
36090,3.985056530286475,-18.0,59.283240871253206
36091,3.9856467339213126,-18.0,59.28712220613948
36092,3.9862247416715983,-18.0,59.291017719138885
36093,3.9867910800469555,-18.0,59.294926378995946
36094,3.9873462532733304,-18.0,59.298847200153155
36095,3.987890744225466,-18.0,59.302779240810665
36096,3.988425015320586,-18.0,59.30672160106721
36097,3.9889495093748986,-18.0,59.3106734211389
36098,3.9894646504244458,-18.0,59.31463387965272
36099,3.9899708445117996,-18.0,59.31860219201144
36100,3.990468480440007,-18.0,59.322577608827224
36101,3.9909579304951515,-18.0,59.326559414420814
36102,3.9914395511388276,-18.0,59.330546925383764
36103,3.991913683671782,-18.0,59.334539489200964
36104,3.992380654869914,-18.0,59.338536482931
36105,3.992840777593783,-18.0,59.342537311941925
36106,3.9932943513727293,-18.0,59.346541408700176
36107,3.9937416629646525,-18.0,59.35054823161033
36108,3.994182986892463,-18.0,59.35455726390368
36109,3.9946185859581784,-18.0,59.35856801257349
36110,3.995048711735586,-18.0,59.36258000735513
36111,3.995473605042365,-18.0,59.366592799749014
36112,3.9958934963925254,-18.0,59.3706059620848
36113,3.99630860642997,-18.0,59.3746190866249
36114,3.9967191463439824,-18.0,59.378631784705775
36115,3.997125318267365,-18.0,59.38264368591552
36116,3.997527315657978,-18.0,59.38665443730598
36117,3.997925323664342,-18.0,59.390663702638214
36118,3.99831951947599,-18.0,59.394671161659794
36119,3.998710072659178,-18.0,59.39867650941254
36120,3.999097145478588,-18.0,59.40267945556958
36121,3.9994808932055848,-18.0,59.40667972380043
36122,3.9998614644135992,-18.0,59.41067705116282
36123,4.000239001261166,-18.0,59.41467118752039
36124,4.000613639763131,-18.0,59.4186618949849
36125,4.000985510050517,-18.0,59.42264894738218
36126,4.001354736619536,-18.0,59.4266321297406
36127,4.001721438570167,-18.0,59.43061123780131
36128,4.002085729834765,-18.0,59.43458607754919
36129,4.002447719397102,-18.0,59.43855646476378
36130,4.00280751150224,-18.0,59.442522224589176
36131,4.003165205857612,-18.0,59.446483191122304
36132,4.003520897825687,-18.0,59.45043920701865
36133,4.003874678608558,-18.0,59.454390123114756
36134,4.004226635424813,-18.0,59.45833579806682
36135,4.004576851678961,-18.0,59.46227609800465
36136,4.004925407123789,-18.0,59.466210896200415
36137,4.005272378015883,-18.0,59.470140072751484
36138,4.005617837264646,-18.0,59.47406351427683
36139,4.005961854575043,-18.0,59.47798111362638
36140,4.00630449658437,-18.0,59.48189276960284
36141,4.006645826993273,-18.0,59.48579838669534
36142,4.006985906691261,-18.0,59.48969787482458
36143,4.007324793876949,-18.0,59.49359114909878
36144,4.00766254417325,-18.0,59.49747812958023
36145,4.007999210737713,-18.0,59.501358741061736
36146,4.008334844368232,-18.0,59.50523291285275
36147,4.008669493604297,-18.0,59.50910057857465
36148,4.009003204823989,-18.0,59.512961675964895
36149,4.009336022336884,-18.0,59.51681614668951
36150,4.009667988473056,-18.0,59.52066393616373
36151,4.009999143668311,-18.0,59.52450499338041
36152,4.01032952654584,-18.0,59.528339270745754
36153,4.010659173994426,-18.0,59.53216672392221
36154,4.010988121243349,-18.0,59.535987311678184
36155,4.011316401934122,-18.0,59.53980099574421
